# One entry per line: ACRONYM|expansion[|context]
# The first meaning is returned by default; add a context to select another
# meaning, for example: API|Application Programming Interface|technology.
# Curated offline from public reference glossaries, including the official
# Section508 acronym list, NIST CSRC, IETF RFCs, and CNCF terminology.
# Operators can add or replace entries here without changing GoBot code.
# https://www.section508.gov/tools/acronyms-abbreviations/
# https://csrc.nist.gov/glossary/ https://www.rfc-editor.org/
# https://glossary.cncf.io/
2FA|Two-Factor Authentication
ML|Machine Learning
MMR|Matchmaking Rating
MOTD|Message of the Day
MTBF|Mean Time Between Failures
MTTR|Mean Time To Recovery
MVP|Minimum Viable Product
NAT|Network Address Translation
NDA|Non-Disclosure Agreement
NFS|Network File System
NIC|Network Interface Controller
NIST|National Institute of Standards and Technology
NOC|Network Operations Center
NTP|Network Time Protocol
PDU|Protocol Data Unit
OAuth|Open Authorization
OCI|Open Container Initiative
OIDC|OpenID Connect
OLAP|Online Analytical Processing
OLTP|Online Transaction Processing
OOM|Out Of Memory
OS|Operating System
OSI|Open Systems Interconnection
PaaS|Platform as a Service
PAM|Privileged Access Management
PCI DSS|Payment Card Industry Data Security Standard
PEM|Privacy-Enhanced Mail
PII|Personally Identifiable Information
PKI|Public Key Infrastructure
PoC|Proof of Concept
POP3|Post Office Protocol version 3
PWA|Progressive Web App
PR|Pull Request
PSK|Pre-Shared Key
QA|Quality Assurance
QoS|Quality of Service
RACI|Responsible, Accountable, Consulted, Informed
RAM|Random Access Memory
RCA|Root Cause Analysis
RDBMS|Relational Database Management System
RBAC|Role-Based Access Control
RDP|Remote Desktop Protocol
REST|Representational State Transfer
RFC|Request for Comments
RPO|Recovery Point Objective
RPS|Requests Per Second
RSA|Rivest–Shamir–Adleman
RTO|Recovery Time Objective
S3|Simple Storage Service
SAML|Security Assertion Markup Language
SASL|Simple Authentication and Security Layer
SAST|Static Application Security Testing
SCP|Secure Copy Protocol
SDK|Software Development Kit
SDLC|Software Development Life Cycle
SFTP|SSH File Transfer Protocol
SIEM|Security Information and Event Management
SLA|Service Level Agreement
SLI|Service Level Indicator
SLO|Service Level Objective
SMB|Server Message Block
SMTP|Simple Mail Transfer Protocol
SNMP|Simple Network Management Protocol
SOC|Security Operations Center
SQL|Structured Query Language
SRE|Site Reliability Engineering
SOAR|Security Orchestration, Automation, and Response
SSH|Secure Shell
SSO|Single Sign-On
TAC|Total Allowable Cost
TCP|Transmission Control Protocol
TDD|Test-Driven Development
TFTP|Trivial File Transfer Protocol
TLD|Top-Level Domain
TLS|Transport Layer Security
TOTP|Time-Based One-Time Password
TTL|Time To Live
TTR|Time To Resolution
TUI|Text User Interface
UDP|User Datagram Protocol
UID|User Identifier
UI|User Interface
UAT|User Acceptance Testing
URI|Uniform Resource Identifier
URL|Uniform Resource Locator
USB|Universal Serial Bus
UTF-8|Unicode Transformation Format 8-bit
UX|User Experience
UUID|Universally Unique Identifier
VLAN|Virtual Local Area Network
VM|Virtual Machine
VPN|Virtual Private Network
VPS|Virtual Private Server
VPC|Virtual Private Cloud
WAF|Web Application Firewall
WAL|Write-Ahead Log
WAN|Wide Area Network
WIP|Work In Progress
W3C|World Wide Web Consortium
WPA2|Wi-Fi Protected Access 2
WPA3|Wi-Fi Protected Access 3
WWW|World Wide Web
XSS|Cross-Site Scripting
YAML|YAML Ain't Markup Language
YARA|Yet Another Recursive Acronym
rDNS|Reverse DNS

# Business, workplace, and management
ASAP|As Soon As Possible|business
BAU|Business As Usual|business
B2B|Business To Business|business
B2C|Business To Consumer|business
COB|Close Of Business|business
CEO|Chief Executive Officer|business
CFO|Chief Financial Officer|business
CIO|Chief Information Officer|business
CMO|Chief Marketing Officer|business
COO|Chief Operating Officer|business
CPO|Chief Product Officer|business
CRO|Chief Revenue Officer|business
CTO|Chief Technology Officer|business
CSO|Chief Security Officer|business
EOD|End Of Day|business
EOM|End Of Month|business
ETA|Estimated Time of Arrival|business
ETC|Et Cetera|general
EVP|Executive Vice President|business
FY|Fiscal Year|business
FYI|For Your Information|business
HR|Human Resources|business
KPI|Key Performance Indicator|business
OKR|Objectives and Key Results|business
OOO|Out Of Office|business
PTO|Paid Time Off|business
RFP|Request For Proposal|business
RFQ|Request For Quotation|business
SME|Subject Matter Expert|business
TBA|To Be Announced|business
TBC|To Be Confirmed|business
TBD|To Be Determined|business
VP|Vice President|business

# Finance and accounting
ACH|Automated Clearing House|finance
APR|Annual Percentage Rate|finance
APY|Annual Percentage Yield|finance
ARR|Annual Recurring Revenue|finance
AUM|Assets Under Management|finance
CAC|Customer Acquisition Cost|finance
CAGR|Compound Annual Growth Rate|finance
CAPEX|Capital Expenditure|finance
COGS|Cost Of Goods Sold|finance
DCF|Discounted Cash Flow|finance
EBITDA|Earnings Before Interest, Taxes, Depreciation, and Amortization|finance
EPS|Earnings Per Share|finance
ETF|Exchange-Traded Fund|finance
FDIC|Federal Deposit Insurance Corporation|finance
FICO|Fair Isaac Corporation credit score|finance
GAAP|Generally Accepted Accounting Principles|finance
GDP|Gross Domestic Product|finance
GNP|Gross National Product|finance
IPO|Initial Public Offering|finance
IRR|Internal Rate of Return|finance
LLC|Limited Liability Company|finance
NAV|Net Asset Value|finance
NPV|Net Present Value|finance
P and L|Profit and Loss|finance
PE|Price to Earnings ratio|finance
ROE|Return On Equity|finance
ROIC|Return On Invested Capital|finance
ROI|Return On Investment|finance
SEC|Securities and Exchange Commission|finance
SOX|Sarbanes-Oxley Act|finance

# Medical and health
API|Active Pharmaceutical Ingredient|medical
ADHD|Attention-Deficit/Hyperactivity Disorder|medical
AIDS|Acquired Immunodeficiency Syndrome|medical
ALS|Amyotrophic Lateral Sclerosis|medical
BMI|Body Mass Index|medical
BP|Blood Pressure|medical
CDC|Centers for Disease Control and Prevention|medical
CPR|Cardiopulmonary Resuscitation|medical
CT|Computed Tomography|medical
DM|Diabetes Mellitus|medical
DNR|Do Not Resuscitate|medical
DNI|Do Not Intubate|medical
ECG|Electrocardiogram|medical
ED|Emergency Department|medical
EKG|Electrocardiogram|medical
EMT|Emergency Medical Technician|medical
ER|Emergency Room|medical
FDA|Food and Drug Administration|medical
HIV|Human Immunodeficiency Virus|medical
ICU|Intensive Care Unit|medical
IV|Intravenous|medical
MCI|Mild Cognitive Impairment|medical
MRI|Magnetic Resonance Imaging|medical
OTC|Over The Counter|medical
PCP|Primary Care Physician|medical
PHI|Protected Health Information|medical
PTSD|Post-Traumatic Stress Disorder|medical
Rx|Prescription|medical
SARS|Severe Acute Respiratory Syndrome|medical
SOAP|Subjective, Objective, Assessment, Plan|medical
STD|Sexually Transmitted Disease|medical
STI|Sexually Transmitted Infection|medical
TB|Tuberculosis|medical
TBI|Traumatic Brain Injury|medical
UTI|Urinary Tract Infection|medical
WHO|World Health Organization|medical

# Education
ACT|American College Testing|education
AP|Advanced Placement|education
BA|Bachelor of Arts|education
BS|Bachelor of Science|education
ELL|English Language Learner|education
ESL|English as a Second Language|education
GED|General Educational Development|education
GPA|Grade Point Average|education
GRE|Graduate Record Examinations|education
IB|International Baccalaureate|education
K12|Kindergarten Through Grade 12|education
MA|Master of Arts|education
MS|Master of Science|education
PhD|Doctor of Philosophy|education
PSAT|Preliminary SAT|education
PTA|Parent-Teacher Association|education
SAT|Scholastic Assessment Test|education
STEM|Science, Technology, Engineering, and Mathematics|education
STEAM|Science, Technology, Engineering, Arts, and Mathematics|education
TA|Teaching Assistant|education

# Government, civic, and public services
CIA|Central Intelligence Agency|government
DMV|Department of Motor Vehicles|government
DHS|Department of Homeland Security|government
DOJ|Department of Justice|government
EPA|Environmental Protection Agency|government
EU|European Union|government
FBI|Federal Bureau of Investigation|government
FCC|Federal Communications Commission|government
FEMA|Federal Emergency Management Agency|government
FOIA|Freedom of Information Act|government
FTC|Federal Trade Commission|government
G7|Group of Seven|government
G20|Group of Twenty|government
IRS|Internal Revenue Service|government
NATO|North Atlantic Treaty Organization|government
NGO|Non-Governmental Organization|government
NSA|National Security Agency|government
POTUS|President of the United States|government
SCOTUS|Supreme Court of the United States|government
TSA|Transportation Security Administration|government
UN|United Nations|government
USPS|United States Postal Service|government

# Internet, chat, and social shorthand
AFK|Away From Keyboard|chat
AFAIK|As Far As I Know|chat
AMA|Ask Me Anything|internet
ASL|Age, Sex, Location|chat
BBL|Be Back Later|chat
BFF|Best Friends Forever|chat
BRB|Be Right Back|chat
BTW|By The Way|chat
DM|Direct Message|internet
FOMO|Fear Of Missing Out|internet
FTW|For The Win|chat
ICYMI|In Case You Missed It|internet
IDK|I Don't Know|chat
IIRC|If I Recall Correctly|chat
IMO|In My Opinion|chat
IMHO|In My Humble Opinion|chat
IRL|In Real Life|internet
JK|Just Kidding|chat
LMAO|Laughing My Ass Off|chat
LOL|Laughing Out Loud|chat
NSFW|Not Safe For Work|internet
NVM|Never Mind|chat
OMW|On My Way|chat
OP|Original Poster|internet
ROFL|Rolling On the Floor Laughing|chat
SMH|Shaking My Head|chat
TBH|To Be Honest|chat
TIL|Today I Learned|internet
TLDR|Too Long; Didn't Read|internet
TMI|Too Much Information|chat
TY|Thank You|chat
WIP|Work In Progress|chat
WTF|What The F***|chat
WTH|What The Heck|chat
YOLO|You Only Live Once|internet

# Science, engineering, and measurements
ATP|Adenosine Triphosphate|science
CO2|Carbon Dioxide|science
DNA|Deoxyribonucleic Acid|science
GMO|Genetically Modified Organism|science
GPS|Global Positioning System|science
IR|Infrared|science
ISS|International Space Station|science
LASER|Light Amplification by Stimulated Emission of Radiation|science
LCD|Liquid-Crystal Display|technology
LED|Light-Emitting Diode|science
LHC|Large Hadron Collider|science
OLED|Organic Light-Emitting Diode|technology
pH|Potential of Hydrogen|science
RADAR|Radio Detection and Ranging|science
RNA|Ribonucleic Acid|science
SI|International System of Units|science
SONAR|Sound Navigation and Ranging|science
UV|Ultraviolet|science

# General everyday abbreviations
AKA|Also Known As|general
ASAP|As Soon As Possible|general
DOB|Date Of Birth|general
DIY|Do It Yourself|general
ID|Identification|general
PIN|Personal Identification Number|general
RSVP|Répondez S'il Vous Plaît|general
RIP|Rest In Peace|general
TBD|To Be Determined|general
VIP|Very Important Person|general
